65452,37400,0.0365375,70,0.0727118,-2.2159,284.045, 
37400,37405,0.130269,46.375,1.00416,-2.96237,105.287, 
37405,37406,0.00611265,50,0.0680544,-4.09875,2658.44, 
37406,37407,0.0113623,50,0.0975564,-4.13997,1561.4, 
37407,37408,0.0287803,50,0.320422,-4.09875,564.626, 
37408,37409,0.0132683,54,0.0214214,-4.41823,2228.86, 
37409,37413,0.0878907,54,0.849279,-5.6996,261.765, 
37413,37414,0.0115655,54,0.0802472,-5.58255,1952.84, 
37414,37416,0.0665392,51.5,0.597243,-4.69156,294.723, 
37416,37417,0.0146686,49,0.158889,-3.78064,1039.79, 
37417,37418,0.024148,54,0.233339,-5.6996,952.739, 
37418,37419,0.0165395,48,0.0185646,0.0837474,193.181, 
37419,37424,0.129859,46.875,1.01605,-3.1122,109.587, 
37424,37425,0.0323946,54,0.401871,-5.51295,638.249, 
37425,37426,0.0148519,28.8394,0.197043,0.197515,1.13687e-13, 
37426,37427,0.0281681,51,0.106056,-4.94245,543.883, 
37427,37428,0.0609057,44,0.437268,-2.30299,187.747, 
37428,79274,0.0104472,67.8,0.150722,-13.5239,4675.92, 
79274,79273,0.0775126,51.4,1.11974,-6.57244,360.325, 
79273,79271,0.0787235,67.8,1.13574,-13.5239,620.529, 
79271,79270,0.0181408,70,0.213725,-14.9832,2988.69, 
79270,79269,0.0123271,67.8,0.177843,-13.5239,3962.83, 
79269,79268,0.00576987,70,0.0679774,-14.9832,9396.62, 
79268,79267,0.00264573,45.8,0.0386411,-3.30704,5373.9, 
79267,25006,0.0231789,67.8,0.334402,-13.5239,2107.53, 
25006,25005,0.0029294,70,0.0238635,-12.4563,11907.6, 
25005,25004,0.00916699,67.8,0.132252,-13.5239,5328.92, 
25004,25003,0.00622545,70,0.0733448,-14.9832,8708.98, 
25003,25002,0.0140497,40,0.207103,-3.18045,1118.5, 
25002,25001,0.0115763,60.2,0.169071,-8.18804,2506.22, 
25001,25000,0.00755858,70,0.0150672,-2.22291,1375.45, 
25000,24999,0.0225895,28.8394,0.2997,0.197515,0, 
24999,24997,0.034788,67.8,0.501887,-13.5239,1404.22, 
24997,24996,0.0168005,70,0.0334339,-2.2159,617.738, 
24996,24994,0.010803,67.8,0.155855,-13.5239,4521.9, 
